City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,17.05,50,42,3.61,ZA,1686276745
84,albany,42.6001,-73.9662,12.79,88,93,0.45,US,1686276466
85,thompson,55.7435,-97.8558,20.09,42,40,4.63,CA,1686276766
86,hamilton,39.1834,-84.5333,18.47,52,0,1.54,US,1686276776
87,apartado,7.883,-76.6259,24.39,95,100,1.57,CO,1686276786
88,torres,-29.3353,-49.7269,19.35,79,3,1.98,BR,1686276797
89,vorgashor,67.5833,63.95,4.71,54,99,3.68,RU,1686276807
90,dalandzadgad,43.5708,104.425,23.58,27,5,3.87,MN,1686276817
91,port mathurin,-19.6833,63.4167,24.42,71,0,7.43,MU,1686276828
92,avarua,-21.2078,-159.775,27.03,74,100,4.63,CK,1686276838
93,ust-nera,64.5667,143.2,17.61,46,30,0.88,RU,1686276858
94,invercargill,-46.4,168.35,7.28,65,2,0.76,NZ,1686276610
95,nadi,-17.8,177.4167,26.0,65,40,4.63,FJ,1686276879
96,isangel,-19.55,169.2667,25.06,57,20,4.12,VU,1686276890
97,jevargi,17.0167,76.7667,30.36,50,46,6.27,IN,1686276900
98,touros,-5.1989,-35.4608,24.22,90,13,4.64,BR,1686276911
99,longgang,37.6508,120.3286,24.71,45,25,7.51,CN,1686276921
100,ushuaia,-54.8,-68.3,1.81,80,0,6.69,AR,1686276681
101,loreto,22.2667,-101.9667,25.55,10,6,2.29,MX,1686276952
102,puerto ayora,-0.7393,-90.3518,25.31,92,55,0.45,EC,1686276962
103,las terrenas,19.311,-69.5428,26.77,79,93,4.62,DO,1686276972
104,kruisfontein,-34.0033,24.7314,16.05,64,100,3.23,ZA,1686276983
105,levuka,50.1834,-105.4011,25.84,50,34,5.21,CA,1686276993
106,lebu,-37.6167,-73.65,10.32,74,66,7.08,CL,1686277005
107,puerto baquerizo moreno,-0.9,-89.6,25.75,81,100,5.32,EC,1686277015
108,samana,19.2056,-69.3369,26.63,81,76,3.43,DO,1686277025
109,nemuro,43.3236,145.575,11.3,94,100,5.4,JP,1686276859
110,nar'yan-mar,67.6713,53.087,5.57,75,100,2.25,RU,1686277047
111,corinto,37.9407,22.9573,22.16,59,8,0.78,GR,1686277057
112,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,45,75,8.0,RU,1686277068
113,buta,2.7858,24.73,21.21,100,100,0.43,CD,1686277079
114,enewetak,11.3474,162.3373,27.85,76,98,6.75,MH,1686277089
115,tolanaro,-25.0319,46.9987,19.61,89,6,3.55,MG,1686277100
116,mafinga,-7.25,35.0667,17.79,78,16,0.91,TZ,1686277111
117,sakaiminato,35.55,133.2333,22.99,73,75,3.6,JP,1686277121
118,remire-montjoly,4.9167,-52.2667,24.02,94,20,0.0,GF,1686277131
119,hawaiian paradise park,19.5933,-154.9731,26.73,73,40,3.6,US,1686277142
120,upata,8.0086,-62.3989,24.55,85,99,2.1,VE,1686277152
121,palangkaraya,-2.2,113.8333,29.59,57,45,1.71,ID,1686277162
122,farasan,16.7022,42.1183,30.91,70,62,3.31,SA,1686277173
123,terrace,54.5163,-128.6035,25.95,27,75,6.69,CA,1686277185
124,aioun,16.6614,-9.6149,33.4,16,100,3.45,MR,1686277195
125,hadibu,12.65,54.0333,28.2,81,97,5.83,YE,1686277205
126,prien,30.1819,-93.2738,27.01,78,0,3.09,US,1686277216
127,kailua-kona,19.6406,-155.9956,28.49,76,75,4.12,US,1686277071
128,san antonio de pale,-1.4014,5.6325,24.81,78,100,5.55,GQ,1686277236
129,tralee,52.2704,-9.7026,14.18,81,59,5.07,IE,1686277247
130,dryden,49.7833,-92.7503,21.16,40,75,2.06,CA,1686277239
131,haiku-pauwela,20.9219,-156.3051,29.01,51,20,9.77,US,1686277267
132,korgun,40.7348,33.5184,16.07,67,100,1.54,TR,1686277277
133,fale old settlement,-9.3852,-171.2468,28.75,77,28,4.87,TK,1686277288
134,bilibino,68.0546,166.4372,19.41,27,2,1.06,RU,1686277299
135,envira,-7.3,-70.2167,22.12,97,10,0.38,BR,1686277309
136,argo,37.6333,22.7333,22.1,62,10,1.19,GR,1686277320
